VERSION;TYPE;PEERS;ROUTES;BLOCKSIZE;TOTAL_ROUTES;TOTAL_PREFICES;RSS;SZ;VSZ;i;TIMEDIF;DATETIME
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;21320;187203;748812;20;4.301861676
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;21140;187190;748760;22;4.735876270
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;21044;187207;748828;20;4.304013846
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;20772;187196;748784;19;4.084681546
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;20772;187188;748752;21;4.524855352
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;20800;187197;748788;19;4.089552928
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;21072;187192;748768;20;4.301069856
v2.0.8-161-ga788372e;multi;10;10000;;12925;6245;21148;187192;748768;18;3.870419206
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19392;6769;27076;24;5.186131393
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19456;6749;26996;24;5.171237831
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19528;6754;27016;25;5.404748204
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19292;6768;27072;24;5.170694801
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19396;6760;27040;27;5.838374799
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19508;6777;27108;25;5.402606133
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19284;6752;27008;24;5.182178320
v2.0.8-161-ga788372e;imex;10;10000;;12925;6245;19548;6763;27052;24;5.174747059
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;6968;3344;13376;26;5.608568489
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7224;3377;13508;26;5.615165423;2021-12-06@14:05:32
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7316;3375;13500;26;5.618026061;2021-12-06@14:06:00
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7260;3352;13408;23;4.961829208;2021-12-06@14:06:27
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7252;3369;13476;25;5.388673471;2021-12-06@14:06:55
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7288;3350;13400;26;5.621786939;2021-12-06@14:07:23
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7188;3369;13476;26;5.609636187;2021-12-06@14:07:51
v2.0.8-161-ga788372e;single;10;10000;;12925;6245;;7316;3364;13456;24;5.172085664;2021-12-06@14:08:19
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;31332;189917;759668;17;3.659687724;2021-12-06@14:08:45
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30948;189945;759780;22;4.730535289;2021-12-06@14:09:11
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30540;189905;759620;20;4.306343387;2021-12-06@14:09:38
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30444;189942;759768;20;4.302684747;2021-12-06@14:10:06
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30808;189919;759676;18;3.875768252;2021-12-06@14:10:32
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30272;189907;759628;19;4.086659602;2021-12-06@14:10:58
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30672;189903;759612;20;4.302416044;2021-12-06@14:11:25
v2.0.8-161-ga788372e;mulimex;10;10000;;12925;6245;30368;189886;759544;21;4.518095173;2021-12-06@14:11:52
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;33640;321631;1286524;19;4.085633944;2021-12-06@14:12:21
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;33060;321630;1286520;21;4.516950872;2021-12-06@14:12:53
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;32888;321622;1286488;20;4.307035392;2021-12-06@14:13:24
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;32536;321610;1286440;18;3.875851167;2021-12-06@14:13:54
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;33352;321615;1286460;22;4.739828577;2021-12-06@14:14:24
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;33432;321630;1286520;18;3.879518698;2021-12-06@14:14:56
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;33368;321637;1286548;21;4.519740200;2021-12-06@14:15:25
v2.0.8-161-ga788372e;multi;18;10000;;15314;6305;33268;321610;1286440;20;4.305856029;2021-12-06@14:15:56
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27564;9030;36120;40;8.684061410;2021-12-06@14:16:30
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27752;9060;36240;38;8.233427802;2021-12-06@14:17:06
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27436;9051;36204;41;8.896879840;2021-12-06@14:17:40
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27672;9067;36268;40;8.668315617;2021-12-06@14:18:14
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27552;9055;36220;40;8.673992917;2021-12-06@14:18:49
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27768;9070;36280;40;8.675525863;2021-12-06@14:19:23
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27604;9063;36252;41;8.896695554;2021-12-06@14:19:58
v2.0.8-161-ga788372e;imex;18;10000;;15314;6305;27620;9068;36272;37;8.026595858;2021-12-06@14:20:35
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8164;3609;14436;38;8.246006718;2021-12-06@14:21:08
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8240;3616;14464;39;8.451448843;2021-12-06@14:21:42
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8312;3630;14520;41;8.885674030;2021-12-06@14:22:17
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8256;3608;14432;39;8.452951862;2021-12-06@14:22:51
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8296;3612;14448;39;8.447394502;2021-12-06@14:23:26
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8224;3611;14444;39;8.461078185;2021-12-06@14:24:01
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8172;3599;14396;40;8.671040923;2021-12-06@14:24:35
v2.0.8-161-ga788372e;single;18;10000;;15314;6305;;8272;3606;14424;41;8.892147820;2021-12-06@14:25:09
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49120;326319;1305276;19;4.089241311;2021-12-06@14:25:40
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49224;326251;1305004;22;4.737475091;2021-12-06@14:26:10
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49192;326268;1305072;17;3.657795376;2021-12-06@14:26:40
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49432;326269;1305076;21;4.520732609;2021-12-06@14:27:10
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;48564;326226;1304904;20;4.310730874;2021-12-06@14:27:40
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49160;326273;1305092;19;4.090173008;2021-12-06@14:28:11
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49368;326279;1305116;20;4.307600202;2021-12-06@14:28:41
v2.0.8-161-ga788372e;mulimex;18;10000;;15314;6305;49696;326329;1305316;22;4.746332733;2021-12-06@14:29:11
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;53904;556871;2227484;22;4.744210933;2021-12-06@14:29:47
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;53844;556877;2227508;19;4.092227972;2021-12-06@14:30:25
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;54532;556860;2227440;22;4.737008659;2021-12-06@14:31:04
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;55396;556884;2227536;19;4.102128776;2021-12-06@14:31:43
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;55708;556931;2227724;21;4.530517178;2021-12-06@14:32:23
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;54508;556848;2227392;18;3.875664935;2021-12-06@14:33:02
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;54032;556799;2227196;18;3.878299866;2021-12-06@14:33:40
v2.0.8-161-ga788372e;multi;32;10000;;16892;6334;54284;556884;2227536;19;4.092237866;2021-12-06@14:34:18
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40140;12621;50484;65;14.149852026;2021-12-06@14:35:06
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40324;12634;50536;64;13.926114889;2021-12-06@14:35:54
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40184;12618;50472;65;14.145470802;2021-12-06@14:36:44
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40572;12700;50800;64;13.919928624;2021-12-06@14:37:31
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40176;12619;50476;66;14.370538072;2021-12-06@14:38:19
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40308;12612;50448;63;13.718296061;2021-12-06@14:39:07
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40296;12626;50504;65;14.138538412;2021-12-06@14:39:55
v2.0.8-161-ga788372e;imex;32;10000;;16892;6334;40156;12614;50456;63;13.717587900;2021-12-06@14:40:43
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9324;3886;15544;69;15.006621142;2021-12-06@14:41:34
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9044;3874;15496;67;14.576172686;2021-12-06@14:42:22
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9168;3877;15508;67;14.580721314;2021-12-06@14:43:09
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9360;3874;15496;70;15.215318150;2021-12-06@14:43:57
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9092;3861;15444;67;14.565809392;2021-12-06@14:44:45
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;8948;3852;15408;67;14.565712451;2021-12-06@14:45:32
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9308;3908;15632;68;14.795375802;2021-12-06@14:46:22
v2.0.8-161-ga788372e;single;32;10000;;16892;6334;;9080;3881;15524;65;14.137421494;2021-12-06@14:47:10
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;82076;564613;2258452;21;4.522385738;2021-12-06@14:47:48
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;83560;564925;2259700;20;4.309231785;2021-12-06@14:48:28
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;82556;564756;2259024;22;4.740118038;2021-12-06@14:49:08
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;81832;564848;2259392;20;4.307002878;2021-12-06@14:49:48
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;81964;564749;2258996;20;4.308891257;2021-12-06@14:50:28
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;82512;564788;2259152;19;4.095858857;2021-12-06@14:51:07
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;81600;564683;2258732;18;3.878144182;2021-12-06@14:51:46
v2.0.8-161-ga788372e;mulimex;32;10000;;16892;6334;81688;564605;2258420;18;3.880192724;2021-12-06@14:52:23
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;90636;960532;3842128;25;5.413937245;2021-12-06@14:53:11
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;90560;960331;3841324;26;5.625838555;2021-12-06@14:54:04
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;90656;960231;3840924;26;5.622985139;2021-12-06@14:54:54
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;88600;959985;3839940;25;5.421197146;2021-12-06@14:55:44
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;92224;960576;3842304;25;5.412104972;2021-12-06@14:56:36
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;90032;960088;3840352;25;5.429419527;2021-12-06@14:57:28
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;88716;960064;3840256;25;5.409571988;2021-12-06@14:58:19
v2.0.8-161-ga788372e;multi;56;10000;;17919;6345;89904;959874;3839496;25;5.402138865;2021-12-06@14:59:09
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60804;18448;73792;113;24.614735142;2021-12-06@15:00:42
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;61532;18608;74432;109;23.732816525;2021-12-06@15:01:53
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60684;18462;73848;109;23.745012029;2021-12-06@15:03:09
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60824;18483;73932;111;24.182505333;2021-12-06@15:04:22
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60740;18485;73940;109;23.743722383;2021-12-06@15:05:37
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60708;18482;73928;109;23.737597586;2021-12-06@15:06:54
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60812;18493;73972;111;24.171849671;2021-12-06@15:08:12
v2.0.8-161-ga788372e;imex;56;10000;;17919;6345;60624;18453;73812;109;23.750090485;2021-12-06@15:09:30
v2.0.8-161-ga788372e;single;56;10000;;17919;6345;10500;4193;16772;115;25.090458989;2021-12-06@15:10:45
v2.0.8-161-ga788372e;single;56;10000;;17919;6345;10576;4198;16792;115;25.053933566;2021-12-06@15:12:01
