VERSION;TYPE;PEERS;ROUTES;;TOTAL_ROUTES;TOTAL_PREFICES;RSS;SZ;VSZ;i;TIMEDIF;DATETIME
v2.0.8;multi;10;10000;;12925;6245;25192;7862;31448;5;1.096254577;2022-02-02@15:17:22
v2.0.8;multi;10;10000;;12925;6245;25328;7855;31420;4;.874940633;2022-02-02@15:17:28
v2.0.8;multi;10;10000;;12925;6245;25312;7858;31432;3;.652671281;2022-02-02@15:17:33
v2.0.8;multi;10;10000;;12925;6245;25100;7881;31524;4;.875534663;2022-02-02@15:17:39
v2.0.8;multi;10;10000;;12925;6245;25336;7865;31460;3;.650571200;2022-02-02@15:17:44
v2.0.8;multi;10;10000;;12925;6245;25332;7875;31500;4;.874139409;2022-02-02@15:17:50
v2.0.8;multi;10;10000;;12925;6245;25352;7857;31428;3;.647811603;2022-02-02@15:17:55
v2.0.8;multi;10;10000;;12925;6245;25432;7892;31568;4;.875001038;2022-02-02@15:18:01
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21232;187160;748640;5;1.089692765;2022-02-02@15:18:09
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21176;187217;748868;3;.651933721;2022-02-02@15:18:14
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21192;187197;748788;3;.653084865;2022-02-02@15:18:20
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21744;187207;748828;3;.652415229;2022-02-02@15:18:25
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21388;187184;748736;3;.648270200;2022-02-02@15:18:31
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21560;187191;748764;3;.648193217;2022-02-02@15:18:36
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21168;187275;749100;3;.647980957;2022-02-02@15:18:42
v2.0.8-169-ga840170e;multi;10;10000;;12925;6245;21140;187204;748816;3;.647965071;2022-02-02@15:18:47
v2.0.8-191-g68d8716f;multi;10;10000;;12925;6245;20820;367168;1468672;5;1.100622692;2022-02-02@15:18:55
v2.0.8-191-g68d8716f;multi;10;10000;;12925;6245;21628;367185;1468740;3;.651433753;2022-02-02@15:19:00
v2.0.8-191-g68d8716f;multi;10;10000;;12925;6245;20616;367175;1468700;3;.652091098;2022-02-02@15:19:06
v2.0.8-191-g68d8716f;multi;10;10000;;12925;6245;21092;367163;1468652;3;.651469363;2022-02-02@15:19:11
v2.0.8-191-g68d8716f;multi;10;10000;;12925;6245;20964;367203;1468812;3;.652121146;2022-02-02@15:19:17
v2.0.8;imex;10;10000;;12925;6245;21296;6904;27616;4;.877780033;2022-02-02@15:21:17
v2.0.8;imex;10;10000;;12925;6245;21448;6918;27672;3;.650221711;2022-02-02@15:21:22
v2.0.8;imex;10;10000;;12925;6245;21328;6903;27612;3;.647419908;2022-02-02@15:21:28
v2.0.8;imex;10;10000;;12925;6245;21344;6926;27704;4;.871457090;2022-02-02@15:21:33
